dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
breast_cancer,model_2layers_20neurons.h5,75,0.5815629959106445,24,"[0.14308953285217285, 0.1829679012298584, 0.26062679290771484, 0.17515230178833008, 0.15732336044311523, 0.1495828628540039, 0.357100248336792, 1.1164257526397705, 0.7179863452911377, 0.650479793548584]","[0, 0, 0, 0, 0, 0, 0, 1, 18, 24]"
breast_cancer,model_2layers_20neurons.h5,76,1.228346347808838,21,"[0.15159225463867188, 0.14806008338928223, 0.14232659339904785, 0.1886587142944336, 0.2206742763519287, 1.1392815113067627, 2.441664457321167, 2.842359781265259, 2.1843485832214355, 1.3896691799163818]","[0, 0, 0, 0, 4, 8, 9, 13, 17, 21]"
breast_cancer,model_2layers_20neurons.h5,77,0.7472798824310303,20,"[0.1461625099182129, 0.16829943656921387, 0.1430196762084961, 0.16198086738586426, 0.23416948318481445, 0.2489616870880127, 0.3461625576019287, 0.8079640865325928, 0.7852027416229248, 0.725273609161377]","[0, 0, 0, 0, 0, 0, 0, 3, 15, 20]"
breast_cancer,model_2layers_20neurons.h5,78,0.5135552883148193,25,"[0.14296817779541016, 0.1390218734741211, 0.14860081672668457, 0.18514275550842285, 0.15948224067687988, 0.1796402931213379, 0.3139660358428955, 1.1063828468322754, 0.8222274780273438, 0.5906064510345459]","[0, 0, 0, 0, 0, 0, 0, 2, 15, 25]"
breast_cancer,model_2layers_20neurons.h5,79,1.200127124786377,18,"[0.14891958236694336, 0.15657544136047363, 0.19332599639892578, 0.20627212524414062, 0.15891003608703613, 0.14876270294189453, 0.2895314693450928, 0.600785493850708, 0.9718306064605713, 1.0312988758087158]","[0, 0, 0, 0, 0, 0, 0, 0, 3, 18]"
breast_cancer,model_2layers_20neurons.h5,80,0.6091227531433105,24,"[0.17739367485046387, 0.23483967781066895, 0.2115459442138672, 0.16536712646484375, 0.16194653511047363, 0.19984221458435059, 0.5712041854858398, 0.7514503002166748, 0.9540252685546875, 0.5142998695373535]","[0, 0, 0, 0, 0, 0, 0, 1, 9, 24]"
breast_cancer,model_2layers_20neurons.h5,81,0.5535316467285156,27,"[0.17682623863220215, 0.19716382026672363, 0.19629955291748047, 0.14141058921813965, 0.1682901382446289, 0.5909674167633057, 0.37682175636291504, 0.4029409885406494, 0.8346118927001953, 0.6206326484680176]","[0, 0, 0, 0, 12, 12, 14, 18, 20, 27]"
breast_cancer,model_2layers_20neurons.h5,82,0.4148588180541992,26,"[0.14658236503601074, 0.1650381088256836, 0.1945204734802246, 0.19980835914611816, 0.1566004753112793, 0.2557404041290283, 0.7032694816589355, 0.8921759128570557, 0.6480436325073242, 0.44812965393066406]","[0, 0, 0, 0, 0, 0, 0, 4, 17, 26]"
breast_cancer,model_2layers_20neurons.h5,83,0.7782151699066162,19,"[0.19742393493652344, 0.21968841552734375, 0.1470630168914795, 0.15214014053344727, 0.15253019332885742, 0.16713523864746094, 0.23334169387817383, 0.43375110626220703, 1.0243043899536133, 0.8537397384643555]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 19]"
breast_cancer,model_2layers_20neurons.h5,84,0.7849376201629639,22,"[0.19939756393432617, 0.31746506690979004, 0.15096688270568848, 0.13882803916931152, 0.16170454025268555, 1.8752093315124512, 1.2659049034118652, 1.5927188396453857, 1.3064534664154053, 0.8955507278442383]","[0, 0, 0, 0, 0, 7, 14, 17, 19, 22]"
breast_cancer,model_2layers_20neurons.h5,85,0.6864800453186035,24,"[0.1423964500427246, 0.18447184562683105, 0.20445847511291504, 0.19215726852416992, 0.15460896492004395, 0.1552588939666748, 0.15553021430969238, 0.4621767997741699, 0.7716667652130127, 0.8030111789703369]","[0, 0, 0, 0, 0, 0, 0, 1, 3, 24]"
breast_cancer,model_2layers_20neurons.h5,86,0.9650468826293944,18,"[0.17549467086791992, 0.14212274551391602, 0.14669537544250488, 0.18879985809326172, 0.20473647117614746, 0.178358793258667, 0.292435884475708, 0.7385928630828857, 0.8668644428253174, 1.0388329029083252]","[0, 0, 0, 0, 0, 0, 0, 2, 6, 18]"
breast_cancer,model_2layers_20neurons.h5,87,0.7961199283599854,19,"[0.18280863761901855, 0.20450496673583984, 0.19118213653564453, 0.14676880836486816, 0.15024805068969727, 0.6864070892333984, 0.7561161518096924, 0.8830440044403076, 0.8502209186553955, 0.807276725769043]","[0, 0, 0, 0, 0, 0, 1, 10, 11, 19]"
breast_cancer,model_2layers_20neurons.h5,88,0.8721096515655518,21,"[0.19502568244934082, 0.1468508243560791, 0.14293360710144043, 0.14113616943359375, 0.1619255542755127, 0.8975698947906494, 2.2285540103912354, 0.9152250289916992, 0.8343586921691895, 0.8926455974578857]","[0, 0, 0, 0, 3, 8, 11, 20, 21, 21]"
breast_cancer,model_2layers_20neurons.h5,89,0.8577733039855957,21,"[0.37694501876831055, 0.20040082931518555, 0.17903804779052734, 0.16394305229187012, 0.15530085563659668, 0.21951580047607422, 0.4157426357269287, 0.753746747970581, 0.9514930248260498, 0.7210693359375]","[0, 0, 0, 0, 0, 0, 0, 2, 13, 21]"
breast_cancer,model_2layers_20neurons.h5,90,1.5716400146484375,20,"[0.21295619010925293, 0.18457365036010742, 0.17067432403564453, 0.1546952724456787, 0.16384124755859375, 1.8794302940368652, 3.5982179641723633, 2.393824815750122, 1.9155774116516113, 1.6192071437835693]","[0, 0, 0, 0, 1, 5, 8, 13, 17, 20]"
breast_cancer,model_2layers_20neurons.h5,91,1.6458590030670166,20,"[0.17892980575561523, 0.1452779769897461, 0.13947844505310059, 0.14828944206237793, 0.16850709915161133, 0.9866740703582764, 2.933811664581299, 2.8059544563293457, 2.062716245651245, 1.6438727378845215]","[0, 0, 0, 0, 6, 6, 10, 12, 18, 20]"
breast_cancer,model_2layers_20neurons.h5,92,0.7859010696411133,21,"[0.14952850341796875, 0.16648173332214355, 0.1446514129638672, 0.18317842483520508, 0.21078920364379883, 0.16904020309448242, 0.20533323287963867, 0.5655450820922852, 1.0173413753509521, 0.9765119552612305]","[0, 0, 0, 0, 0, 0, 0, 0, 8, 21]"
